                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1477,                 1.9481,                 1.2566,                0.55574,                 0.4535,                 0.4604,                0.31171,                 1.1314,                 1.4948,                 1.2023,             0.00013844,             0.00013844,             0.00013844
                      1,                  1.196,                 1.5723,                 1.2815,                 0.4825,                 0.4076,                0.38534,                0.24318,                 1.2109,                 1.6532,                 1.2632,             0.00024998,             0.00024998,             0.00024998
                      2,                 1.2381,                 1.6031,                 1.3121,                0.46413,                0.35485,                0.33639,                0.20368,                 1.2976,                 1.7489,                 1.3332,             0.00033399,             0.00033399,             0.00033399
                      3,                 1.2187,                 1.5563,                 1.3044,                0.49632,                0.41726,                0.39793,                 0.2528,                 1.2574,                 1.5713,                 1.2957,             0.00029315,             0.00029315,             0.00029315
                      4,                 1.2228,                 1.5185,                 1.3043,                0.49695,                0.37843,                0.37799,                0.24132,                 1.2619,                 1.6163,                 1.3071,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.1955,                 1.4634,                 1.2879,                0.47607,                0.40866,                0.39687,                0.25203,                 1.2401,                 1.5438,                  1.301,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.1535,                 1.3544,                 1.2639,                0.55722,                0.42146,                 0.4395,                0.28483,                  1.208,                 1.4538,                 1.2693,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.1275,                 1.2789,                 1.2454,                0.55704,                0.43317,                0.45374,                0.29968,                 1.1824,                 1.4082,                 1.2378,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.0817,                   1.22,                  1.219,                0.59382,                0.46101,                0.47923,                0.31901,                 1.1647,                 1.3464,                 1.2367,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.0644,                  1.162,                 1.2039,                0.59188,                0.47668,                0.49542,                 0.3339,                  1.131,                 1.3147,                 1.2126,             8.6736e-05,             8.6736e-05,             8.6736e-05
