                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1503,                 1.8989,                 1.2582,                0.51408,                0.45712,                 0.4386,                0.29408,                 1.1216,                 1.5746,                 1.1887,             0.00013844,             0.00013844,             0.00013844
                      1,                 1.2038,                 1.5609,                 1.2848,                0.45026,                0.41747,                0.38114,                0.23454,                   1.23,                 1.6197,                 1.2923,             0.00024998,             0.00024998,             0.00024998
                      2,                 1.2432,                 1.6215,                 1.3237,                0.50002,                0.36233,                0.36544,                0.23082,                 1.3147,                 1.7087,                 1.3585,             0.00033399,             0.00033399,             0.00033399
                      3,                 1.2493,                   1.57,                  1.329,                0.44708,                0.40222,                0.37601,                0.24053,                 1.2614,                 1.5833,                  1.324,             0.00029315,             0.00029315,             0.00029315
                      4,                 1.2215,                 1.5027,                 1.3098,                 0.4669,                0.38778,                0.36841,                0.23525,                 1.2595,                 1.5738,                 1.3161,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.2047,                 1.4421,                 1.3018,                0.52307,                0.40534,                0.40687,                0.26132,                 1.2639,                  1.549,                  1.317,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.1528,                 1.3484,                 1.2608,                0.51535,                0.42772,                0.42897,                0.28461,                  1.226,                 1.4846,                  1.288,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.1256,                 1.2966,                 1.2468,                0.54552,                0.45676,                0.45843,                0.30401,                 1.1879,                 1.4061,                 1.2582,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.0975,                 1.2176,                 1.2252,                 0.5448,                0.46274,                0.46508,                0.31065,                 1.1638,                 1.3811,                 1.2367,             0.00012802,             0.00012802,             0.00012802
                      9,                  1.053,                 1.1521,                 1.1994,                0.58446,                0.46493,                0.48336,                0.32234,                 1.1353,                 1.3233,                 1.2216,             8.6736e-05,             8.6736e-05,             8.6736e-05
