                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1983,                 1.3706,                 1.2336,                0.55467,                0.45946,                0.46672,                0.31041,                 1.2107,                 1.4622,                 1.2528,             0.00013856,             0.00013856,             0.00013856
                      1,                 1.1398,                  1.254,                 1.1932,                0.55707,                0.42918,                0.44403,                0.28808,                 1.2614,                 1.5087,                 1.2867,             0.00025008,             0.00025008,             0.00025008
                      2,                 1.1471,                 1.2376,                 1.2005,                0.53071,                0.42984,                0.43379,                0.28114,                 1.2577,                 1.5757,                 1.2899,             0.00033408,             0.00033408,             0.00033408
                      3,                 1.2272,                 1.3373,                 1.2442,                0.55555,                0.42545,                0.43908,                0.29035,                 1.2113,                 1.4786,                  1.251,             0.00029315,             0.00029315,             0.00029315
                      4,                 1.2018,                 1.2938,                 1.2286,                0.53655,                0.44798,                0.44429,                0.29184,                 1.2132,                  1.439,                 1.2489,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.1865,                 1.2434,                 1.2164,                0.55206,                0.43299,                0.44678,                0.29567,                 1.1987,                 1.4237,                 1.2476,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.1631,                 1.1903,                 1.2018,                0.59757,                0.44798,                0.47383,                0.31329,                 1.1968,                 1.4125,                  1.246,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.1523,                 1.1671,                 1.1962,                0.58468,                0.44925,                0.48567,                0.32394,                  1.167,                 1.3603,                 1.2184,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.1362,                 1.1359,                 1.1856,                0.58096,                0.47374,                0.48355,                0.32405,                 1.1764,                 1.3593,                 1.2233,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.1235,                 1.1159,                 1.1774,                0.60239,                0.47037,                0.50381,                0.33897,                  1.164,                 1.3417,                  1.212,             8.6736e-05,             8.6736e-05,             8.6736e-05
